Disease,Description
Fungal infection,Fungal infection is a common skin condition caused by fungi.
Allergy,Allergy is an immune system reaction to a substance in the environment.
GERD,GERD (Gastroesophageal Reflux Disease) is a digestive disorder that affects the lower esophageal sphincter.
Chronic cholestasis,Chronic cholestasis is a condition where bile flow from the liver is reduced for a prolonged period.
Drug Reaction,Drug Reaction occurs when the body reacts adversely to a medication.
Peptic ulcer disease,Peptic ulcer disease involves sores that develop on the inner lining of the stomach and small intestine.
AIDS,AIDS (Acquired Immunodeficiency Syndrome) is a disease caused by HIV that weakens the immune system.
Diabetes,Diabetes is a chronic condition that affects how the body processes blood sugar.
Gastroenteritis,"Gastroenteritis is an inflammation of the stomach and intestines, typically caused by a virus or bacteria."
Bronchial Asthma,Bronchial Asthma is a respiratory condition characterized by inflammation of the airways.
Hypertension,"Hypertension, or high blood pressure, is a common cardiovascular condition."
Migraine,Migraine is a type of headache that often involves severe pain and sensitivity to light and sound.
Cervical spondylosis,Cervical spondylosis is a degenerative condition of the cervical spine.
Paralysis (brain hemorrhage),Paralysis (brain hemorrhage) refers to the loss of muscle function due to bleeding in the brain.
Jaundice,"Jaundice is a yellow discoloration of the skin and eyes, often indicating liver problems."
Malaria,Malaria is a mosquito-borne infectious disease affecting humans and other animals.
Chicken pox,Chicken pox is a highly contagious viral infection causing an itchy rash.
Dengue,Dengue is a mosquito-borne viral infection causing flu-like symptoms.
Typhoid,Typhoid is a bacterial infection that can lead to a high fever and gastrointestinal symptoms.
hepatitis A,hepatitis A is a viral liver disease.
Hepatitis B,Hepatitis B is a viral infection that attacks the liver.
Hepatitis C,Hepatitis C is a viral infection that causes liver inflammation.
Hepatitis D,Hepatitis D is a serious liver disease caused by the hepatitis D virus.
Hepatitis E,Hepatitis E is a viral infection that causes liver inflammation.
Alcoholic hepatitis,Alcoholic hepatitis is inflammation of the liver due to alcohol consumption.
Tuberculosis,Tuberculosis is a bacterial infection that primarily affects the lungs.
Common Cold,Common Cold is a viral infection of the upper respiratory tract.
Pneumonia,Pneumonia is an inflammatory condition affecting the air sacs in the lungs.
Dimorphic hemmorhoids(piles),Dimorphic hemmorhoids(piles) is a condition characterized by swollen blood vessels in the rectum.
Heart attack,Heart attack is a sudden and severe reduction in blood flow to the heart muscle.
Varicose veins,"Varicose veins are enlarged, twisted veins that usually appear on the legs."
Hypothyroidism,Hypothyroidism is a condition where the thyroid gland doesn't produce enough thyroid hormone.
Hyperthyroidism,Hyperthyroidism is a condition where the thyroid gland produces too much thyroid hormone.
Hypoglycemia,Hypoglycemia is a condition characterized by abnormally low blood sugar levels.
Osteoarthristis,Osteoarthristis is a degenerative joint disease that affects the cartilage in joints.
Arthritis,"Arthritis is inflammation of one or more joints, causing pain and stiffness."
(vertigo) Paroymsal Positional Vertigo,(Vertigo) Paroxysmal Positional Vertigo is a type of dizziness caused by specific head movements.
Acne,Acne is a skin condition that occurs when hair follicles become clogged with oil and dead skin cells.
Urinary tract infection,Urinary tract infection is an infection in any part of the urinary system.
Psoriasis,"Psoriasis is a chronic skin condition characterized by red, itchy, and scaly patches."
Impetigo,Impetigo is a highly contagious skin infection causing red sores that can break open.
Tularemia,Tularemia is a rare infectious disease caused by the bacterium Francisella tularensis.
Stroke,"Stroke occurs when blood flow to a part of the brain is interrupted, causing brain cells to die."
Lead poisoning,"Lead poisoning is a condition caused by toxic levels of lead in the body, often from environmental exposure."
Sickle-cell anemia,Sickle-cell anemia is a genetic blood disorder where red blood cells become misshapen and can block blood flow.
Myocardial Infarction (Heart Attack),"Myocardial infarction, or heart attack, occurs when blood flow to the heart muscle is blocked, causing tissue damage."
Rabies,Rabies is a deadly viral infection that spreads through the bite of an infected animal.
Warkany syndrome,Warkany syndrome is a rare genetic disorder characterized by physical malformations and developmental delays.
Celiacs disease,Celiac disease is an autoimmune disorder where ingestion of gluten leads to damage in the small intestine.
Abscess,"An abscess is a collection of pus that forms in tissues, organs, or spaces inside the body due to infection."
Perennial Allergic Conjunctivitis,Perennial allergic conjunctivitis is a year-round allergic eye inflammation caused by allergens such as dust mites and pet dander.
Lyme disease,"Lyme disease is an infectious disease caused by the bacterium Borrelia burgdorferi, transmitted through tick bites."
Japanese Encephalitis,Japanese encephalitis is a viral brain infection spread by mosquitoes in Asia and the western Pacific.
Hepatitis A,Hepatitis A is a viral liver disease.
Bronchitis,"Bronchitis is an inflammation of the bronchial tubes, leading to cough and mucus production."
Influenza,"Influenza, or the flu, is a viral infection that affects the respiratory system."
Multiple sclerosis,Multiple sclerosis is a chronic autoimmune disorder affecting the central nervous system.
Anthrax,"Anthrax is a serious infectious disease caused by Bacillus anthracis, affecting the skin, lungs, and intestines."
Brain Tumour,"A brain tumor is an abnormal growth of cells within the brain, which can be benign or malignant."
Coronavirus disease 2019 (COVID-19),COVID-19 is a highly contagious respiratory illness caused by the SARS-CoV-2 virus.
Lupus erythematosus,Lupus erythematosus is an autoimmune disease causing inflammation and damage to various body tissues.
Carpal Tunnel Syndrome,"Carpal tunnel syndrome is a condition caused by compression of the median nerve in the wrist, leading to pain and numbness."
Lymphoma,Lymphoma is a type of cancer that affects the lymphatic system.
Insomnia,Insomnia is a sleep disorder characterized by difficulty falling or staying asleep.
Goitre,Goitre is an abnormal enlargement of the thyroid gland.
Polycystic ovary syndrome (PCOS),PCOS is a hormonal disorder causing enlarged ovaries with small cysts on the outer edges.
Rubella,"Rubella, or German measles, is a contagious viral infection preventable by vaccine."
Myopia,"Myopia, or nearsightedness, is a common vision condition where distant objects appear blurry."
Postpartum depression/ Perinatal depression,Postpartum depression is a type of mood disorder that can affect women after childbirth.
Vitamin B12 Deficiency,Vitamin B12 deficiency can cause anemia and nervous system damage.
Heat-Related Illnesses and Heat waves,Heat-related illnesses include conditions like heat exhaustion and heat stroke caused by excessive heat exposure.
Melanoma,Melanoma is a serious type of skin cancer that develops in the cells that produce melanin.
Scrapie,"Scrapie is a fatal, degenerative disease affecting the nervous system of sheep and goats."
Autism,Autism spectrum disorder is a developmental disorder affecting communication and behavior.
Sepsis,Sepsis is a life-threatening condition caused by the body's response to infection.
Mouth Breathing,Mouth breathing is the act of inhaling and exhaling through the mouth instead of the nose.
Repetitive strain injury,Repetitive strain injury is a condition caused by repetitive movements leading to pain and damage to muscles and nerves.
Iron Deficiency Anemia,Iron deficiency anemia is a condition where a lack of iron leads to a reduced number of red blood cells.
Porphyria,Porphyria refers to a group of disorders caused by abnormalities in the chemical steps leading to heme production.
Bubonic plague,"Bubonic plague is a severe infection caused by the bacterium Yersinia pestis, characterized by swollen lymph nodes."
Strep throat,Strep throat is a bacterial infection causing inflammation and pain in the throat.
Ebola,Ebola is a severe viral hemorrhagic fever caused by the Ebola virus.
Tonsillitis,"Tonsillitis is inflammation of the tonsils, typically caused by viral or bacterial infections."
Colitis,Colitis is inflammation of the inner lining of the colon.
Oral Cancer,Oral cancer refers to cancer that develops in any part of the mouth.
Leptospirosis,"Leptospirosis is a bacterial infection that affects humans and animals, caused by bacteria of the genus Leptospira."
Urticaria,"Urticaria, or hives, is a skin condition characterized by red, itchy welts."
Yellow Fever,"Yellow fever is a viral infection transmitted by mosquitoes, causing fever, chills, and jaundice."
Rheumatic fever,Rheumatic fever is an inflammatory disease that can develop after a streptococcal infection.
Alcohol Abuse and Alcoholism,"Alcohol abuse is the harmful use of alcohol, while alcoholism is an addiction to alcohol."
Bleeding Gums,Bleeding gums are a common sign of gum disease or gingivitis.
Thalassaemia,Thalassemia is a genetic blood disorder characterized by less hemoglobin and fewer red blood cells than normal.
Glaucoma,"Glaucoma is a group of eye conditions that damage the optic nerve, leading to vision loss."
Leukemia,Leukemia is a type of cancer that affects blood and bone marrow.
Rift Valley fever,"Rift Valley fever is a viral disease that affects animals and humans, caused by the Rift Valley fever virus."
Neonatal Respiratory Disease Syndrome(NRDS),NRDS is a condition seen in premature infants causing breathing difficulties.
Breast Cancer / Carcinoma,Breast cancer is a malignancy that develops from breast tissue.
Legionellosis,"Legionellosis, or Legionnaires' disease, is a severe form of pneumonia caused by Legionella bacteria."
Hypothyroid,Hypothyroidism is a condition where the thyroid gland doesn't produce enough thyroid hormones.
Botulism,Botulism is a rare but serious illness caused by a toxin that attacks the body's nerves.
Eczema,"Eczema is a condition that makes the skin red, inflamed, and itchy."
Chickenpox,"Chickenpox is a highly contagious viral infection causing an itchy, blister-like rash."
Interstitial cystitis,"Interstitial cystitis is a chronic condition causing bladder pressure, bladder pain, and sometimes pelvic pain."
Diabetic Retinopathy,Diabetic retinopathy is a diabetes complication that affects the eyes.
Chlamydia,Chlamydia is a common sexually transmitted infection caused by bacteria.
Endometriosis,Endometriosis is a disorder where tissue similar to the lining inside the uterus grows outside the uterus.
Asbestos-related diseases,"Asbestos-related diseases include lung cancer, mesothelioma, and asbestosis caused by asbestos exposure."
Ear infection,"An ear infection is an inflammation of the middle ear, often caused by bacteria."
Trachoma,"Trachoma is an infectious eye disease caused by Chlamydia trachomatis, leading to blindness if untreated."
papilloedema,Papilloedema is swelling of the optic disc due to increased intracranial pressure.
Cerebral palsy,Cerebral palsy is a group of disorders affecting movement and muscle tone or posture caused by damage to the developing brain.
Rickets,"Rickets is a condition in children caused by vitamin D deficiency, leading to soft and weak bones."
Pelvic inflammatory disease,Pelvic inflammatory disease is an infection of the female reproductive organs.
Necrotizing Fasciitis,Necrotizing fasciitis is a severe bacterial infection that destroys tissues under the skin.
Mumps,Mumps is a viral infection that affects the salivary glands.
Progeria,Progeria is a rare genetic disorder causing accelerated aging in children.
Mononucleosis,"Mononucleosis, or ""mono,"" is an infectious disease caused by the Epstein-Barr virus."
Carbon monoxide poisoning,"Carbon monoxide poisoning occurs when carbon monoxide builds up in the bloodstream, preventing oxygen delivery to tissues."
Zika virus disease,"Zika virus disease is a mosquito-borne illness causing fever, rash, and joint pain, and can lead to birth defects if contracted during pregnancy."
Colorectal Cancer,Colorectal cancer is cancer that starts in the colon or rectum.
Cancer,Cancer is a disease where abnormal cells divide uncontrollably and destroy body tissue.
Scurvy,Scurvy is a disease resulting from a deficiency of vitamin C.
(vertigo) Paroymsal  Positional Vertigo,Vertigo is a sensation of spinning or dizziness often caused by inner ear problems.
Osteomyelitis,Osteomyelitis is an infection in a bone.
Asthma,Asthma is a chronic respiratory condition causing airway inflammation and difficulty breathing.
Chorea,"Chorea is a movement disorder causing involuntary, unpredictable body movements."
Peritonitis,"Peritonitis is inflammation of the peritoneum, often due to bacterial infection."
Gonorrhea,Gonorrhea is a sexually transmitted bacterial infection.
Down's Syndrome,Down's syndrome is a genetic disorder caused by the presence of an extra chromosome 21.
Iritis,"Iritis is inflammation of the iris, the colored part of the eye."
Alzheimer,Alzheimer's disease is a progressive neurodegenerative disorder causing memory loss and cognitive decline.
Neoplasm,"A neoplasm is an abnormal growth of tissue, which can be benign or malignant."
Tetanus,Tetanus is a serious bacterial infection causing muscle stiffness and spasms.
Crimean Congo haemorrhagic fever (CCHF),CCHF is a tick-borne viral disease causing severe hemorrhagic fever.
Anaemia,Anaemia is a condition where there is a lack of red blood cells or hemoglobin.
Narcolepsy,Narcolepsy is a chronic sleep disorder characterized by overwhelming daytime drowsiness and sudden attacks of sleep.
Vasovagal syncope,"Vasovagal syncope is a sudden drop in heart rate and blood pressure leading to fainting, often in response to a trigger."
Warts,"Warts are small, non-cancerous growths on the skin caused by human papillomavirus (HPV)."
Diabetes ,Diabetes is a chronic condition affecting how the body processes blood sugar.
Common cold,The common cold is a viral infection of the upper respiratory tract.
Hepatitis,"Hepatitis is inflammation of the liver, commonly caused by viral infections."
Nipah virus infection,Nipah virus infection is a zoonotic illness causing severe respiratory and neurological symptoms.
Parkinson's Disease,Parkinson's disease is a progressive neurodegenerative disorder affecting movement.
Antepartum hemorrhage (Bleeding in late pregnancy),Antepartum hemorrhage is bleeding from the genital tract in late pregnancy.
Inflammatory Bowel Disease,Inflammatory bowel disease includes chronic conditions like Crohn's disease and ulcerative colitis causing inflammation of the digestive tract.
