Disease,Diet_1,Diet_2,Diet_3,Diet_4,Diet_5
Fungal infection,Antifungal Diet,Probiotics,Garlic,Coconut oil,Turmeric
Allergy,Elimination Diet,Omega-3-rich foods,Vitamin C-rich foods,Quercetin-rich foods,Probiotics
GERD,Low-Acid Diet,Fiber-rich foods,Ginger,Licorice,Aloe vera juice
Chronic cholestasis,Low-Fat Diet,High-Fiber Diet,Lean proteins,Whole grains,Fresh fruits and vegetables
Drug Reaction,Antihistamine Diet,Omega-3-rich foods,Vitamin C-rich foods,Quercetin-rich foods,Probiotics
Peptic ulcer disease,Low-Acid Diet,Fiber-rich foods,Ginger,Licorice,Aloe vera juice
AIDS,Balanced Diet,Protein-rich foods,Fruits and vegetables,Whole grains,Healthy fats
Diabetes,Low-Glycemic Diet,Fiber-rich foods,Lean proteins,Healthy fats,Low-fat dairy
Gastroenteritis,Bland Diet,Bananas,Rice,Applesauce,Toast
Bronchial Asthma,Anti-Inflammatory Diet,Omega-3-rich foods,Fruits and vegetables,Whole grains,Lean proteins
Hypertension,DASH Diet,Low-sodium foods,Fruits and vegetables,Whole grains,Lean proteins
Migraine,Migraine Diet,Low-Tyramine Diet,Caffeine withdrawal,Hydration,Magnesium-rich foods
Cervical spondylosis,Arthritis Diet,Anti-Inflammatory Diet,Omega-3-rich foods,Fruits and vegetables,Whole grains
Paralysis (brain hemorrhage),Heart-Healthy Diet,Low-sodium foods,Fruits and vegetables,Whole grains,Lean proteins
Jaundice,Liver-Healthy Diet,Low-fat Diet,Fruits and vegetables,Whole grains,Lean proteins
Malaria,Malaria Diet,Hydration,High-Calorie Diet,Soft and bland foods,Oral rehydration solutions
Chicken pox,Chicken Pox Diet,High-Calorie Diet,Soft and bland foods,Hydration,Protein-rich foods
Dengue,Dengue Diet,Hydration,High-Calorie Diet,Soft and bland foods,Protein-rich foods
Typhoid,Typhoid Diet,High-Calorie Diet,Soft and bland foods,Hydration,Protein-rich foods
hepatitis A,Hepatitis A Diet,High-Calorie Diet,Soft and bland foods,Hydration,Protein-rich foods
Hepatitis B,Hepatitis B Diet,High-Calorie Diet,Soft and bland foods,Hydration,Protein-rich foods
Hepatitis C,Hepatitis C Diet,High-Calorie Diet,Soft and bland foods,Hydration,Protein-rich foods
Hepatitis D,Hepatitis D Diet,High-Calorie Diet,Soft and bland foods,Hydration,Protein-rich foods
Hepatitis E,Hepatitis E Diet,High-Calorie Diet,Soft and bland foods,Hydration,Protein-rich foods
Alcoholic hepatitis,Liver-Healthy Diet,Low-fat Diet,Fruits and vegetables,Whole grains,Lean proteins
Tuberculosis,TB Diet,High-Calorie Diet,Soft and bland foods,Hydration,Protein-rich foods
Common Cold,Cold Diet,Hydration,Warm fluids,Rest,Honey and lemon tea
Pneumonia,Pneumonia Diet,High-Calorie Diet,Soft and bland foods,Hydration,Protein-rich foods
Dimorphic hemmorhoids(piles),Hemorrhoids Diet,High-Fiber Diet,Hydration,Warm baths,Stool softeners
Heart attack,Heart-Healthy Diet,Low-sodium foods,Fruits and vegetables,Whole grains,Lean proteins
Varicose veins,Varicose Veins Diet,High-Fiber Diet,Fruits and vegetables,Whole grains,Low-sodium foods
Hypothyroidism,Hypothyroidism Diet,Iodine-rich foods,Selenium-rich foods,Fruits and vegetables,Whole grains
Hyperthyroidism,Hyperthyroidism Diet,Low-Iodine Diet,Calcium-rich foods,Selenium-rich foods,Fruits and vegetables
Hypoglycemia,Hypoglycemia Diet,Complex carbohydrates,Protein-rich snacks,Fiber-rich foods,Healthy fats
Osteoarthristis,Arthritis Diet,Anti-Inflammatory Diet,Omega-3-rich foods,Fruits and vegetables,Whole grains
Arthritis,Arthritis Diet,Anti-Inflammatory Diet,Omega-3-rich foods,Fruits and vegetables,Whole grains
(vertigo) Paroymsal Positional Vertigo,Vertigo Diet,Low-Salt Diet,Hydration,Ginger tea,Vitamin D-rich foods
Acne,Acne Diet,Low-Glycemic Diet,Hydration,Fruits and vegetables,Probiotics
Urinary tract infection,UTI Diet,Hydration,Cranberry juice,Probiotics,Vitamin C-rich foods
Psoriasis,Psoriasis Diet,Anti-Inflammatory Diet,Omega-3-rich foods,Fruits and vegetables,Whole grains
Impetigo,Impetigo Diet,Antibiotic treatment,Fruits and vegetables,Hydration,Protein-rich foods
Tularemia,Antibiotic therapy,Supportive care,,,
Stroke,DASH Diet,Low-sodium Diet,Healthy fats,Fruits and vegetables,Whole grains
Lead poisoning,Nutrient-rich diet,Calcium-rich foods,Iron-rich foods,Vitamin C,Zinc
Sickle-cell anemia,Hydration,High-protein diet,Folic acid supplements,Iron-rich foods,Vitamin supplements
Myocardial Infarction (Heart Attack),Mediterranean Diet,Low-sodium Diet,Heart-healthy fats,Fruits and vegetables,Lean proteins
Rabies,Supportive care,Preventive measures,,,
Warkany syndrome,Balanced diet,Nutritional supplements,High-calorie foods,Regular monitoring,
Celiac disease,Gluten-free diet,Whole grains,Fruits and vegetables,Lean proteins,Dairy alternatives
Abscess,Antibiotics,High-protein diet,Vitamin-rich foods,Hydration,Rest
Perennial Allergic Conjunctivitis,Anti-inflammatory diet,Omega-3 fatty acids,Vitamin A,Vitamin C,Zinc
Lyme disease,Antibiotics,Anti-inflammatory diet,Omega-3 fatty acids,Probiotics,Hydration
Japanese Encephalitis,Preventive measures,Supportive care,,,
Hepatitis A,Hydration,Low-fat diet,Fruits and vegetables,Lean proteins,Avoid alcohol
Bronchitis,Hydration,Balanced diet,Fruits and vegetables,Warm fluids,Rest
Influenza,Hydration,Balanced diet,Rest,Warm fluids,Fruits and vegetables
Multiple sclerosis,Low-fat, high-fiber diet,Omega-3 fatty acids,Fruits and vegetables,Lean proteins
Anthrax,Antibiotics,Supportive care,Vaccine (in some cases),,
Brain Tumour,Balanced diet,Hydration,Nutritional supplements,Small, frequent meals
