Disease, Medication_1, Medication_2, Medication_3, Medication_4, Medication_5
Fungal infection, Antifungal Cream, Fluconazole, Terbinafine, Clotrimazole, Ketoconazole
Allergy, Antihistamines, Decongestants, Epinephrine, Corticosteroids, Immunotherapy
GERD, Proton Pump Inhibitors (PPIs), H2 Blockers, Antacids, Prokinetics, Antibiotics
Chronic cholestasis, Ursodeoxycholic acid, Cholestyramine, Methotrexate, Corticosteroids, Liver transplant
Drug Reaction, Antihistamines, Epinephrine, Corticosteroids, Antibiotics, Antifungal Cream
Peptic ulcer disease, Antibiotics, Proton Pump Inhibitors (PPIs), H2 Blockers, Antacids, Cytoprotective agents
AIDS, Antiretroviral drugs, Protease inhibitors, Integrase inhibitors, Entry inhibitors, Fusion inhibitors
Diabetes, Insulin, Metformin, Sulfonylureas, DPP-4 inhibitors, GLP-1 receptor agonists
Gastroenteritis, Antibiotics, Antiemetic drugs, Antidiarrheal drugs, IV fluids, Probiotics
Bronchial Asthma, Bronchodilators, Inhaled corticosteroids, Leukotriene modifiers, Mast cell stabilizers, Anticholinergics
Hypertension, Antihypertensive medications, Diuretics, Beta-blockers, ACE inhibitors, Calcium channel blockers
Migraine, Analgesics, Triptans, Ergotamine derivatives, Preventive medications, Biofeedback
Cervical spondylosis, Pain relievers, Muscle relaxants, Physical therapy, Neck braces, Corticosteroids
Paralysis (brain hemorrhage), Blood thinners, Clot-dissolving medications, Anticonvulsants, Physical therapy, Occupational therapy
Jaundice, IV fluids, Blood transfusions, Liver transplant, Medications for itching, Antiviral medications
Malaria, Antimalarial drugs, Antipyretics, Antiemetic drugs, IV fluids, Blood transfusions
Chicken pox, Antiviral drugs, Pain relievers, IV fluids, Blood transfusions, Platelet transfusions
Dengue, Antibiotics, Antipyretics, Analgesics, IV fluids, Corticosteroids
Typhoid, Vaccination, Antiviral drugs, IV fluids, Blood transfusions, Liver transplant
Hepatitis A, Vaccination, Antiviral drugs, IV fluids, Blood transfusions, Liver transplant
Hepatitis B, Antiviral drugs, IV fluids, Blood transfusions, Platelet transfusions, Liver transplant
Hepatitis C, Antiviral drugs, IV fluids, Blood transfusions, Platelet transfusions, Liver transplant
Hepatitis D, Antiviral drugs, IV fluids, Blood transfusions, Platelet transfusions, Liver transplant
Hepatitis E, Alcohol cessation, Corticosteroids, IV fluids, Liver transplant, Nutritional support
Alcoholic hepatitis, Antibiotics, Isoniazid, Rifampin, Ethambutol, Pyrazinamide
Tuberculosis, Antipyretics, Decongestants, Cough suppressants, Antihistamines, Pain relievers
Common Cold, Antibiotics, Antiviral drugs, Antifungal drugs, IV fluids, Oxygen therapy
Pneumonia, Laxatives, Pain relievers, Warm baths, Cold compresses, High-fiber diet
Dimorphic hemorrhoids (piles), Nitroglycerin, Aspirin, Beta-blockers, Calcium channel blockers, Thrombolytic drugs
Heart attack, Compression stockings, Exercise, Elevating the legs, Sclerotherapy, Laser treatments
Varicose veins, Levothyroxine, Antithyroid medications, Beta-blockers, Radioactive iodine, Thyroid surgery
Hypothyroidism, Antithyroid medications, Radioactive iodine, Thyroid surgery, Beta-blockers, Corticosteroids
Hyperthyroidism, Glucose tablets, Candy or juice, Glucagon injection, IV dextrose, Diazoxide
Hypoglycemia, Pain relievers, Exercise, Hot and cold packs, Joint protection, Physical therapy
Osteoarthritis, NSAIDs, Disease-modifying antirheumatic drugs (DMARDs), Biologics, Corticosteroids, Joint replacement surgery
Arthritis (vertigo), Vestibular rehabilitation, Canalith repositioning, Medications for nausea, Surgery, Home exercises
Paroxysmal Positional Vertigo, Topical treatments, Antibiotics, Oral medications, Hormonal treatments, Isotretinoin
Acne, Antibiotics, Pain relievers, Antihistamines, Corticosteroids, Topical treatments
Urinary tract infection, Antibiotics, Urinary analgesics, Phenazopyridine, Antispasmodics, Probiotics
Psoriasis, Topical treatments, Phototherapy, Systemic medications, Biologics, Coal tar
Impetigo, Topical antibiotics, Oral antibiotics, Antiseptics, Ointments, Warm compresses
Tularemia, Gentamicin, Ciprofloxacin, Doxycycline, Streptomycin, Chloramphenicol
Stroke, Alteplase, Aspirin, Statins, Anticoagulants, Blood pressure medications
Lead poisoning, EDTA, Dimercaprol, Succimer, Penicillamine, Calcium supplements
Sickle-cell anemia, Hydroxyurea, Blood transfusions, Pain relievers, Folic acid supplements, Antibiotics
Myocardial Infarction (Heart Attack), Aspirin, Nitroglycerin, Beta-blockers, ACE inhibitors, Statins
Rabies, Rabies vaccine, Rabies immunoglobulin, Antiviral medications, Pain relievers, Wound care
Warkany syndrome, Supportive care, Physical therapy, Occupational therapy, Speech therapy, Nutritional support
Celiacs disease, Gluten-free diet, Vitamin and mineral supplements, Corticosteroids, Immune-modulating drugs, Pain relievers
Abscess, Antibiotics, Incision and drainage, Pain relievers, Warm compresses, Antiseptic solutions
Perennial Allergic Conjunctivitis, Antihistamine eye drops, Mast cell stabilizers, Corticosteroid eye drops, Decongestants, Artificial tears
Lyme disease, Doxycycline, Amoxicillin, Cefuroxime, Ceftriaxone, Pain relievers
Japanese Encephalitis, Supportive care, Antiviral medications, Pain relievers, IV fluids, Antipyretics
Hepatitis A, Supportive care, Antiviral medications, IV fluids, Pain relievers, Hepatitis A vaccine
Bronchitis, Bronchodilators, Cough suppressants, Antibiotics, Pain relievers, Corticosteroids
Influenza, Antiviral drugs, Pain relievers, Decongestants, Cough suppressants, Flu vaccine
Multiple sclerosis, Interferons, Glatiramer acetate, Fingolimod, Corticosteroids, Muscle relaxants
Anthrax, Ciprofloxacin, Doxycycline, Amoxicillin, Raxibacumab, Anthrax vaccine
Brain Tumour, Surgery, Radiation therapy, Chemotherapy, Corticosteroids, Anti-seizure medications
Coronavirus disease 2019 (COVID-19), Antiviral medications, Corticosteroids, Monoclonal antibodies, Oxygen therapy, Vaccines
Lupus erythematosus, Hydroxychloroquine, NSAIDs, Corticosteroids, Immunosuppressants, Biologics
Carpal Tunnel Syndrome, NSAIDs, Corticosteroid injections, Wrist splints, Physical therapy, Surgery
Lymphoma, Chemotherapy, Radiation therapy, Immunotherapy, Targeted therapy, Stem cell transplant
Insomnia, Benzodiazepines, Non-benzodiazepine sleep aids, Melatonin, Antidepressants, Cognitive behavioral therapy
Goitre, Levothyroxine, Methimazole, Radioactive iodine, Beta-blockers, Thyroid surgery
Polycystic ovary syndrome (PCOS), Metformin, Hormonal contraceptives, Clomiphene, Spironolactone, Lifestyle changes
Rubella, MMR vaccine, Antipyretics, Pain relievers, Bed rest, Hydration
Myopia, Glasses, Contact lenses, LASIK surgery, Orthokeratology, Eye drops
Postpartum depression/ Perinatal depression, Antidepressants, Cognitive behavioral therapy, Hormone therapy, Support groups, Electroconvulsive therapy
Vitamin B12 Deficiency, Vitamin B12 injections, Oral vitamin B12 supplements, Nasal vitamin B12, Folic acid supplements, Dietary changes
Heat-Related Illnesses and Heat waves, IV fluids, Electrolyte replacement, Cooling measures, Antipyretics, Rest
Melanoma, Surgery, Immunotherapy, Targeted therapy, Chemotherapy, Radiation therapy
Scrapie, Supportive care, Pain relievers, Anti-seizure medications, Physical therapy, Nutritional support
Autism, Behavioral therapy, Speech therapy, Occupational therapy, Medications for associated symptoms, Special education services
Sepsis, Antibiotics, IV fluids, Vasopressors, Corticosteroids, Organ support
Mouth Breathing, Nasal decongestants, Nasal strips, Surgery, Oral appliances, Breathing exercises
Repetitive strain injury, NSAIDs, Physical therapy, Ergonomic adjustments, Corticosteroid injections, Rest
Iron Deficiency Anemia, Iron supplements, Vitamin C supplements, Dietary changes, Blood transfusions, Iron-rich foods
Porphyria, Hemin, Glucose infusions, Pain relievers, Beta-blockers, Avoidance of triggers
Bubonic plague, Streptomycin, Gentamicin, Doxycycline, Ciprofloxacin, Chloramphenicol
Strep throat, Penicillin, Amoxicillin, Azithromycin, Pain relievers, Rest
Ebola, Supportive care, IV fluids, Electrolyte replacement, Antiviral medications, Experimental treatments
Tonsillitis, Antibiotics, Pain relievers, Corticosteroids, Throat lozenges, Tonsillectomy
Colitis, Anti-inflammatory drugs, Immunosuppressants, Antibiotics, Biologics, Surgery
Oral Cancer, Surgery, Radiation therapy, Chemotherapy, Targeted therapy, Immunotherapy
Leptospirosis, Doxycycline, Penicillin, Amoxicillin, Ceftriaxone, Pain relievers
Urticaria, Antihistamines, Corticosteroids, Epinephrine, Leukotriene inhibitors, Immunosuppressants
Yellow Fever, Yellow fever vaccine, Supportive care, Pain relievers, Antipyretics, IV fluids
Rheumatic fever, Antibiotics, Anti-inflammatory medications, Corticosteroids, Bed rest, Heart medications
