Disease, Precaution_1, Precaution_2, Precaution_3, Precaution_4, Precaution_5
Tularemia, Avoid exposure to rabbits and rodents, Use insect repellent, Wear gloves when handling animals, Wear protective clothing,
Stroke, Recognize symptoms early (FAST: Face, Arms, Speech, Time), Seek immediate medical attention
Lead poisoning, Avoid exposure to lead-based paints and products, Ensure proper ventilation in lead-exposed areas, Use lead-safe practices in occupations, Ensure children avoid lead-contaminated soil or toys,
Sickle-cell anemia, Stay hydrated, Avoid extreme temperatures, Manage pain with medications as prescribed, Regular medical check-ups,
Myocardial Infarction (Heart Attack), Call emergency services immediately, Chew aspirin if advised, Monitor heart rate and blood pressure, Follow cardiac rehabilitation program,
Rabies, Get vaccinated if at risk, Avoid contact with wild animals, Wash animal bites or scratches thoroughly with soap and water, Seek medical help if exposed,
Warkany syndrome, Early detection through prenatal screening, Genetic counseling for families, Monitor and manage associated health issues, Provide supportive care for affected individuals,
Celiac disease, Strict gluten-free diet, Read food labels carefully, Consult with a dietitian, Educate family and caregivers,
Abscess, Keep affected area clean and dry, Apply warm compresses, Take prescribed antibiotics, Seek medical care for drainage or worsening symptoms,
Perennial Allergic Conjunctivitis, Avoid allergens (e.g., dust, pollen), Use antihistamine eye drops, Keep windows closed during pollen season
Lyme disease, Wear long sleeves and pants in wooded areas, Use insect repellent with DEET, Perform tick checks after outdoor activities, Remove ticks promptly and correctly,
Japanese Encephalitis, Vaccination before travel to endemic areas, Use mosquito nets and repellents, Avoid outdoor activities at dawn and dusk, Seek medical care for fever or neurological symptoms,
Hepatitis A, Practice good hygiene (handwashing), Get vaccinated, Avoid consuming contaminated food or water, Seek medical care for symptoms,
Bronchitis, Quit smoking and avoid secondhand smoke, Stay hydrated, Use a humidifier, Rest and take prescribed medications,
Influenza, Get vaccinated annually, Practice good hygiene (handwashing, covering mouth when coughing), Stay home when sick, Take antiviral medications if prescribed
Multiple sclerosis, Follow prescribed treatment plan, Manage stress, Stay physically active within capabilities, Join support groups,
Anthrax, Handle potentially contaminated items carefully, Follow workplace safety protocols, Take antibiotics as prescribed, Seek medical attention for symptoms,
Brain Tumour, Seek immediate medical attention for symptoms, Follow recommended treatment plan, Manage symptoms and side effects, Seek support from healthcare professionals and support groups,
Coronavirus disease 2019 (COVID-19), Practice physical distancing, Wear masks in public settings, Wash hands frequently, Get vaccinated and boosted,
Lupus erythematosus, Protect skin from sun exposure, Manage stress, Follow treatment plan as prescribed, Join support groups,
