disease,workout_1,workout_2,workout_3,workout_4,workout_5
Fungal infection,Avoid sugary foods,Consume probiotics,Increase intake of garlic,Include yogurt in diet,Limit processed foods
Allergy,Avoid allergenic foods,Consume anti-inflammatory foods,Include omega-3 fatty acids,Stay hydrated,Eat foods rich in vitamin C
GERD,Consume smaller meals,Avoid trigger foods (spicy, fatty),Eat high-fiber foods,Limit caffeine and alcohol
Chronic cholestasis,Consume a low-fat diet,Eat high-fiber foods,Include healthy fats,Limit alcohol consumption,Stay hydrated
Drug Reaction,Discontinue offending medication,Stay hydrated,Include anti-inflammatory foods,Consume antioxidants,Avoid trigger foods
Peptic ulcer disease,Consume smaller, more frequent meals,Avoid trigger foods (spicy, acidic),Include high-fiber foods
AIDS,Follow a balanced and nutritious diet,Include lean proteins,Consume nutrient-rich foods,Stay hydrated,Include healthy fats
Diabetes,Monitor carbohydrate intake,Eat balanced meals,Include lean proteins,Consume high-fiber foods,Stay hydrated
Gastroenteritis,Stay hydrated,Consume clear fluids,Follow the BRAT diet (bananas, rice, applesauce
Bronchial Asthma,Include anti-inflammatory foods,Consume omega-3 fatty acids,Limit sodium intake,Stay hydrated,Include antioxidant-rich foods
Hypertension,Follow the DASH diet (Dietary Approaches to Stop Hypertension),Limit sodium intake,Include potassium-rich foods,Stay hydrated,Consume calcium-rich foods
Migraine,Identify and avoid trigger foods,Stay hydrated,Include magnesium-rich foods,Consume omega-3 fatty acids,Limit caffeine and alcohol
Cervical spondylosis,Include anti-inflammatory foods,Consume omega-3 fatty acids,Include vitamin D-rich foods,Stay hydrated,Consume antioxidant-rich foods
Paralysis (brain hemorrhage),Follow a balanced and nutritious diet,Include lean proteins,Consume nutrient-rich foods,Stay hydrated,Include healthy fats
Jaundice,Stay hydrated,Consume nutrient-rich foods,Include protein-rich foods,Consume easily digestible foods,Limit fatty foods
Malaria,Stay hydrated,Consume nutrient-rich foods,Include protein-rich foods,Consume foods rich in antioxidants,Limit fatty and greasy foods
Chicken pox,Stay hydrated,Include easily digestible foods,Include vitamin C-rich foods,Consume protein-rich foods,Include zinc-rich foods
Dengue,Stay hydrated,Include nutrient-rich foods,Consume foods rich in vitamin C and antioxidants,Limit fatty and greasy foods,Avoid caffeine and alcohol
Typhoid,Consume easily digestible foods,Stay hydrated,Include nutrient-rich foods,Consume foods rich in vitamin C and antioxidants,Include protein-rich foods
hepatitis A,Stay hydrated,Consume nutrient-rich foods,Include protein-rich foods,Consume easily digestible foods,Limit fatty foods
Hepatitis B,Follow a balanced and nutritious diet,Stay hydrated,Include protein-rich foods,Consume nutrient-rich foods,Limit fatty foods
